Area,Session
NoFibres,DN1_170807a
NoFibres,DN1_170808a
NoFibres,DN1_170809a
NAC,DN1_170810a
DRN,DN1_170811a
NAC,DN1_170812a
DRN,DN1_170814a
NAC,DN1_170815a
DRN,DN1_170816a
NAC,DN1_170817a
DRN,DN1_170818a
NAC,DN1_170819a
DRN,DN1_170820a
NAC,DN1_170821a
DRN,DN1_170822a
NAC,DN1_170823a
DRN,DN1_170824a
NAC,DN1_170828a
DRN,DN1_170829a
NAC,DN1_170830a
DRN,DN1_170831a
NAC,DN1_170901a
DRN,DN1_170904a
NAC,DN1_170905a
DRN,DN1_170906a
NAC,DN1_170907a
DRN,DN1_170908a
NAC,DN1_170911a
DRN,DN1_170912a
NAC,DN1_170913a
DRN,DN1_170914a
NAC,DN1_170915a
DRN,DN1_170918a
NAC,DN1_170919a
NAC,DN1_170920a
NAC,DN1_170921a
NAC,DN1_170922a
NAC,DN1_170925a
NAC,DN1_170926a
NAC,DN1_170927a
NAC,DN1_170928a
NAC,DN1_170929a
NAC,DN1_171002a
NAC,DN1_171003a
NAC,DN1_171004a
NAC,DN1_171005a
NAC,DN1_171006a
NAC,DN1_171009a
NAC,DN1_171010a
NAC,DN1_171012a
NAC,DN1_171013a
NAC,DN1_171016a
NAC,DN1_171017a
NAC,DN1_171018a
NAC,DN1_171019a
NAC,DN1_171020a
NAC,DN1_171023a
NAC,DN1_171024a
NAC,DN1_171025a
NAC,DN1_171026a
NAC,DN1_171027a
NAC,DN1_171030a
DRN,DN1_171031a
DRN,DN1_171101a
DRN,DN1_171102a
DRN,DN1_171103a
DRN,DN1_171106a
DRN,DN1_171107a
DRN,DN1_171108a
DRN,DN1_171112a
DRN,DN1_171113a
DRN,DN1_171114a
DRN,DN1_171115a
DRN,DN1_171116a
NoFibres,DN2_170807a
NoFibres,DN2_170808a
NoFibres,DN2_170809a
DRN,DN2_170810a
NAC,DN2_170811a
DRN,DN2_170812a
NAC,DN2_170814a
DRN,DN2_170815a
NAC,DN2_170816a
DRN,DN2_170817a
NAC,DN2_170818a
DRN,DN2_170819a
NAC,DN2_170820a
DRN,DN2_170821a
NAC,DN2_170822a
DRN,DN2_170823a
NAC,DN2_170824a
DRN,DN2_170828a
NAC,DN2_170829a
DRN,DN2_170830a
NAC,DN2_170831a
DRN,DN2_170901a
NAC,DN2_170904a
DRN,DN2_170905a
NAC,DN2_170906a
DRN,DN2_170907a
NAC,DN2_170908a
DRN,DN2_170911a
NAC,DN2_170912a
DRN,DN2_170913a
NAC,DN2_170914a
DRN,DN2_170915a
NAC,DN2_170918a
NAC,DN2_170919a
NAC,DN2_170920a
NAC,DN2_170921a
NAC,DN2_170922a
NAC,DN2_170925a
NAC,DN2_170926a
NAC,DN2_170927a
NAC,DN2_170928a
NAC,DN2_170929a
NAC,DN2_171002a
NAC,DN2_171003a
NAC,DN2_171004a
NAC,DN2_171005a
NAC,DN2_171006a
NAC,DN2_171009a
NAC,DN2_171010a
NAC,DN2_171012a
NAC,DN2_171013a
NAC,DN2_171016a
NAC,DN2_171017a
NAC,DN2_171018a
NAC,DN2_171019a
NAC,DN2_171020a
NAC,DN2_171023a
NAC,DN2_171024a
NAC,DN2_171025a
NAC,DN2_171026a
NAC,DN2_171027a
NAC,DN2_171030a
DRN,DN2_171031a
DRN,DN2_171101a
DRN,DN2_171102a
DRN,DN2_171103a
DRN,DN2_171106a
DRN,DN2_171107a
DRN,DN2_171108a
DRN,DN2_171112a
DRN,DN2_171113a
DRN,DN2_171114a
DRN,DN2_171115a
DRN,DN2_171116a
NoFibres,DN3_170807a
NoFibres,DN3_170808a
NoFibres,DN3_170809a
NAC,DN3_170810a
DRN,DN3_170811a
NAC,DN3_170812a
DRN,DN3_170814a
NAC,DN3_170815a
DRN,DN3_170816a
NAC,DN3_170817a
DRN,DN3_170818a
NAC,DN3_170819a
DRN,DN3_170820a
NAC,DN3_170821a
DRN,DN3_170822a
NAC,DN3_170823a
DRN,DN3_170824a
NAC,DN3_170828a
DRN,DN3_170829a
NAC,DN3_170830a
DRN,DN3_170831a
NAC,DN3_170901a
DRN,DN3_170904a
NAC,DN3_170905a
DRN,DN3_170906a
NAC,DN3_170907a
DRN,DN3_170908a
NAC,DN3_170911a
DRN,DN3_170912a
NAC,DN3_170913a
DRN,DN3_170914a
NAC,DN3_170915a
DRN,DN3_170918a
NAC,DN3_170919a
NAC,DN3_170920a
NAC,DN3_170921a
NAC,DN3_170922a
NAC,DN3_170925a
NAC,DN3_170926a
NAC,DN3_170927a
NAC,DN3_170928a
NAC,DN3_170929a
NAC,DN3_171002a
NAC,DN3_171003a
NAC,DN3_171004a
NAC,DN3_171005a
NAC,DN3_171006a
NAC,DN3_171009a
NAC,DN3_171010a
NAC,DN3_171012a
NAC,DN3_171013a
NAC,DN3_171016a
NAC,DN3_171017a
NAC,DN3_171018a
NAC,DN3_171019a
NAC,DN3_171020a
NAC,DN3_171023a
NAC,DN3_171024a
NAC,DN3_171025a
NAC,DN3_171026a
NAC,DN3_171027a
NAC,DN3_171030a
DRN,DN3_171031a
DRN,DN3_171101a
DRN,DN3_171102a
DRN,DN3_171103a
DRN,DN3_171106a
DRN,DN3_171107a
DRN,DN3_171108a
DRN,DN3_171112a
DRN,DN3_171113a
DRN,DN3_171114a
DRN,DN3_171115a
DRN,DN3_171116a
NoFibres,DN4_170807a
NoFibres,DN4_170808a
NoFibres,DN4_170809a
DRN,DN4_170810a
NAC,DN4_170811a
DRN,DN4_170812a
NAC,DN4_170814a
DRN,DN4_170815a
NAC,DN4_170816a
DRN,DN4_170817a
NAC,DN4_170818a
DRN,DN4_170819a
NAC,DN4_170820a
DRN,DN4_170821a
NAC,DN4_170822a
DRN,DN4_170823a
NAC,DN4_170824a
DRN,DN4_170828a
NAC,DN4_170829a
DRN,DN4_170830a
NAC,DN4_170831a
DRN,DN4_170901a
NAC,DN4_170904a
DRN,DN4_170905a
NAC,DN4_170906a
DRN,DN4_170907a
NAC,DN4_170908a
DRN,DN4_170911a
NAC,DN4_170912a
DRN,DN4_170913a
NAC,DN4_170914a
DRN,DN4_170915a
NAC,DN4_170918a
NAC,DN4_170919a
NAC,DN4_170920a
NAC,DN4_170921a
NAC,DN4_170922a
NAC,DN4_170925a
NAC,DN4_170926a
NAC,DN4_170927a
NAC,DN4_170928a
NAC,DN4_170929a
NAC,DN4_171002a
NAC,DN4_171003a
NAC,DN4_171004a
NAC,DN4_171005a
NAC,DN4_171006a
NAC,DN4_171009a
NAC,DN4_171010a
NAC,DN4_171012a
NAC,DN4_171013a
NAC,DN4_171016a
NAC,DN4_171017a
NAC,DN4_171018a
NAC,DN4_171019a
NAC,DN4_171020a
NAC,DN4_171023a
NAC,DN4_171024a
NAC,DN4_171025a
NAC,DN4_171026a
NAC,DN4_171027a
NAC,DN4_171030a
DRN,DN4_171031a
DRN,DN4_171101a
DRN,DN4_171102a
DRN,DN4_171103a
DRN,DN4_171106a
DRN,DN4_171107a
DRN,DN4_171108a
DRN,DN4_171112a
DRN,DN4_171113a
DRN,DN4_171114a
DRN,DN4_171115a
DRN,DN4_171116a
NoFibres,DN5_170807a
NoFibres,DN5_170808a
NoFibres,DN5_170809a
NAC,DN5_170810a
DRN,DN5_170811a
NAC,DN5_170812a
DRN,DN5_170814a
NAC,DN5_170815a
DRN,DN5_170816a
NAC,DN5_170817a
DRN,DN5_170818a
NAC,DN5_170819a
DRN,DN5_170820a
NAC,DN5_170821a
DRN,DN5_170822a
NAC,DN5_170823a
DRN,DN5_170824a
NAC,DN5_170828a
DRN,DN5_170829a
NAC,DN5_170830a
DRN,DN5_170831a
NAC,DN5_170901a
DRN,DN5_170904a
NAC,DN5_170905a
DRN,DN5_170906a
NAC,DN5_170907a
DRN,DN5_170908a
NAC,DN5_170911a
DRN,DN5_170912a
NAC,DN5_170913a
DRN,DN5_170914a
NAC,DN5_170915a
DRN,DN5_170918a
NAC,DN5_170919a
NAC,DN5_170920a
NAC,DN5_170921a
NAC,DN5_170922a
NAC,DN5_170925a
NAC,DN5_170926a
NAC,DN5_170927a
NAC,DN5_170928a
NAC,DN5_170929a
NAC,DN5_171002a
NAC,DN5_171003a
NAC,DN5_171004a
NAC,DN5_171005a
NAC,DN5_171006a
NAC,DN5_171009a
NAC,DN5_171010a
NAC,DN5_171012a
NAC,DN5_171013a
NAC,DN5_171016a
NAC,DN5_171017a
NAC,DN5_171018a
NAC,DN5_171019a
NAC,DN5_171020a
NAC,DN5_171023a
NAC,DN5_171024a
NAC,DN5_171025a
NAC,DN5_171026a
NAC,DN5_171027a
NAC,DN5_171030a
DRN,DN5_171031a
DRN,DN5_171101a
DRN,DN5_171102a
DRN,DN5_171103a
DRN,DN5_171106a
DRN,DN5_171107a
DRN,DN5_171108a
DRN,DN5_171112a
DRN,DN5_171113a
DRN,DN5_171114a
DRN,DN5_171115a
DRN,DN5_171116a
NoFibres,DN6_170807a
NoFibres,DN6_170808a
NoFibres,DN6_170809a
DRN,DN6_170810a
NAC,DN6_170811a
DRN,DN6_170812a
NAC,DN6_170814a
DRN,DN6_170815a
NAC,DN6_170816a
DRN,DN6_170817a
NAC,DN6_170818a
DRN,DN6_170819a
NAC,DN6_170820a
DRN,DN6_170821a
NAC,DN6_170822a
DRN,DN6_170823a
NAC,DN6_170824a
DRN,DN6_170828a
NAC,DN6_170829a
DRN,DN6_170830a
NAC,DN6_170831a
DRN,DN6_170901a
NAC,DN6_170904a
DRN,DN6_170905a
NAC,DN6_170906a
DRN,DN6_170907a
NAC,DN6_170908a
DRN,DN6_170911a
NAC,DN6_170912a
DRN,DN6_170913a
NAC,DN6_170914a
DRN,DN6_170915a
NAC,DN6_170918a
NAC,DN6_170919a
NAC,DN6_170920a
NAC,DN6_170921a
NAC,DN6_170922a
NAC,DN6_170925a
NAC,DN6_170926a
NAC,DN6_170927a
NAC,DN6_170928a
NAC,DN6_170929a
NAC,DN6_171002a
NAC,DN6_171003a
NAC,DN6_171004a
NAC,DN6_171005a
NAC,DN6_171006a
NAC,DN6_171009a
NAC,DN6_171010a
NAC,DN6_171012a
NAC,DN6_171013a
NAC,DN6_171016a
NAC,DN6_171017a
NAC,DN6_171018a
NAC,DN6_171019a
NAC,DN6_171020a
NAC,DN6_171023a
NAC,DN6_171024a
NAC,DN6_171025a
NAC,DN6_171026a
NAC,DN6_171027a
NAC,DN6_171030a
DRN,DN6_171031a
DRN,DN6_171101a
DRN,DN6_171102a
DRN,DN6_171103a
DRN,DN6_171106a
DRN,DN6_171107a
DRN,DN6_171108a
DRN,DN6_171112a
DRN,DN6_171113a
DRN,DN6_171114a
DRN,DN6_171115a
DRN,DN6_171116a